,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,%,-0.05%,-1%,0.05%,0.1%
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-25,2804.350098,2813.48999,2794.98999,2796.110107,2796.110107,3804380000,,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-02-26,2792.360107,2803.1201170000004,2789.469971,2793.899902,2793.899902,3645680000,-0.0790457069078453,0,1,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-02-27,2787.5,2795.76001,2775.1298829999996,2792.3798829999996,2792.3798829999996,3767130000,-0.05440491976510697,0,1,0,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-02-28,2788.110107,2793.72998,2782.51001,2784.48999,2784.48999,4396930000,-0.28255084661056395,0,0,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-03-01,2798.219971,2808.02002,2787.3798829999996,2803.689941,2803.689941,3972280000,0.6895320532288951,0,0,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-03-04,2814.3701170000004,2816.8798829999996,2767.659912,2792.810059,2792.810059,3919810000,-0.3880558203279647,0,0,0,0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-03-05,2794.409912,2796.439941,2782.969971,2789.649902,2789.649902,3585690000,-0.1131533091488267,0,0,0,0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-03-06,2790.27002,2790.27002,2768.689941,2771.449951,2771.449951,3786600000,-0.6524098592784656,0,0,0,0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-03-07,2766.530029,2767.25,2739.090088,2748.929932,2748.929932,3904860000,-0.8125717367500838,0,0,0,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-03-08,2730.790039,2744.1298829999996,2722.27002,2743.070068,2743.070068,3423130000,-0.21316891099281812,0,0,0,0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2019-03-11,2747.610107,2784.0,2747.610107,2783.300049,2783.300049,3749030000,1.46660420633484,0,0,0,0
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2019-03-12,2787.340088,2798.320068,2786.72998,2791.52002,2791.52002,3414230000,0.29533183111009914,0,0,0,0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2019-03-13,2799.780029,2821.23999,2799.780029,2810.919922,2810.919922,3766150000,0.6949583689534174,0,0,0,0
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2019-03-14,2810.3798829999996,2815.0,2803.459961,2808.47998,2808.47998,3469730000,-0.08680225932099582,0,1,0,0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2019-03-15,2810.790039,2830.72998,2810.790039,2822.47998,2822.47998,5962730000,0.49849029011059565,0,0,0,0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2019-03-18,2822.610107,2835.409912,2821.98999,2832.939941,2832.939941,3552190000,0.3705946924023894,0,0,0,0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2019-03-19,2840.76001,2852.419922,2823.27002,2832.570068,2832.570068,3620220000,-0.013056153949721089,1,0,0,0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2019-03-20,2831.340088,2843.540039,2812.429932,2824.22998,2824.22998,3771200000,-0.2944353643434717,0,0,0,0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2019-03-21,2819.719971,2860.310059,2817.3798829999996,2854.8798829999996,2854.8798829999996,3546800000,1.0852481284119624,0,0,0,0
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2019-03-22,2844.52002,2846.159912,2800.469971,2800.709961,2800.709961,4237200000,-1.8974501282021046,0,0,0,0
